SQL> select saname as "이름", to_char(sapay*10000, '999,999,999') as "연봉",
  2  to_char(round(sapay*10000/12, -2), '999,999,999') as "월급",
  3  to_char(round(sapay*10000/12*0.05, 0), '999,999,999') as "세금"
  4  from sawon;

이름                 연봉                     월급                     세금
-------------------- ------------------------ ------------------------ ------------------------
홍길동                 50,000,000                4,166,700                  208,333
이순라                 12,000,000                1,000,000                   50,000
한국남                 30,000,000                2,500,000                  125,000
이순신                 35,000,000                2,916,700                  145,833
놀기만                 23,000,000                1,916,700                   95,833
뷰별나                 16,000,000                1,333,300                   66,667
채시라                 34,000,000                2,833,300                  141,667
무궁화                 30,000,000                2,500,000                  125,000
임꺽정                 22,000,000                1,833,300                   91,667
깨똥이                 45,000,000                3,750,000                  187,500
뷰명한                 18,000,000                1,500,000                   75,000
무궁화                 11,000,000                  916,700                   45,833
최진실                 20,000,000                1,666,700                   83,333
이성계                 28,030,000                2,335,800                  116,792
공부만                 40,030,000                3,335,800                  166,792
채송화                 17,030,000                1,419,200                   70,958
이미라                 25,030,000                2,085,800                  104,292
공부해                 13,030,000                1,085,800                   54,292
김유신                  4,000,000                  333,300                   16,667
강감찬                 10,030,000                  835,800                   41,792

20 rows selected.
